raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
356,剣龍山,けんりゅうざん,620,24871,
357,雷岳,いかづちだけ,831,25427,
358,雄義頭山,ゆうぎかしらやま,590,28462,
359,京岩山,きょういわやま,751,28463,
360,赤岳,あかだけ,359.1,27292,
361,総見山,そうみやま,441,26164,
362,擲筆峰,てきひっぽう,370,16293,
363,乳母ヶ谷山,うばがたにやま,423.3,28464,
364,清ノ木山,せいのきやま,408,25250,
365,尾子岳,おうこだけ,710,15370,
366,キリハタ山,きりはたやま,372,25339,
367,寺村山,てらむらやま,363,28465,
368,白岩山,しらいわさん,410,15303,
369,栗山,くりやま,115,25276,
370,中岡山,なかおかやま,180.9,25081,
371,群仙峯,ぐんせんほう,401,16276,
372,鞍懸山,くらがけやま,392,25114,
373,大石峠山,おしがとうやま,584.1,28466,
374,上入山,かみいりやま,838.4,28467,
375,伊毛山,いげやま,890,28468,
376,釜ヶ瀬山,かまがせやま,846.8,28469,
377,小原内山,おはらうちやま,334.5,28470,
378,大石山,おおいしやま,587.7,28471,
379,矢石山,やいしやま,103.3,28472,
380,荒山岳,あらやまだけ,582.9,28473,
381,田口山,たぐちやま,321,15307,
382,コウモリ山,こうもりやま,888,25057,
383,松尾山,まつおやま,438,25117,
384,西台,にしだい,565.1,25300,
385,渋見山,しぶみやま,210.5,28474,
386,高岩,たかいわ,353,24884,
387,黒岳,くろだけ,894.2,28475,
388,大平山,おおひらやま,682.7,26508,
389,鬼城,きしろ,450,28476,
390,大畑山,おおはたやま,400.3,27537,
391,笹岳,ささのだけ,1013.4,28477,
392,奥畑山,おくばたやま,238.6,28478,
393,ひじり岳,ひじりだけ,934,25058,
394,権現山,ごんげんやま,270,28479,
395,岩竹山,いわたけやま,260,28480,
396,河尻山,かわじりやま,360,28481,
397,鉢水山,はちみずやま,388.2,28482,
398,横田山,よこたやま,806,15404,
399,轟山,とどろきやま,299,25182,
400,岩山,いわやま,796.1,25368,
401,美女ヶ嶽,びじょがたけ,640,28483,
402,丸山,まるやま,273.2,28484,
403,にぎり山,にぎりやま,540,28485,
404,辻奥山,つじおくやま,749.4,27518,
405,ソウミ山,そうみやま,340.2,28486,
406,雲田山,くもたやま,510,28487,
407,且尾山,かつおやま,349,26245,
408,鬼ヶ城,おにがじょう,430,28488,
409,代三五山,だいさんごやま,366.9,15312,
410,日向山,ひなたやま,829.7,28489,
411,掛橋山,かけはしやま,438.7,28490,
412,ヤコビキ山,やこびきやま,266.2,27359,
413,官山,かんざん,404,28491,
414,松戸山,まつどやま,801.1,28492,
415,坂本山,さかもとやま,507.2,28493,
416,下り山,さがりやま,283,28494,
417,三野山,みのうやま,772.6,28495,
418,灘山,なだやま,348.1,15291,
419,城山,しろやま,346,26350,
420,扇山,おうぎやま,1206,25053,
421,河内岳,こうちだけ,460,28496,
422,日ノ岳,ひのたけ,236.1,25283,
423,東台,ひがしだい,542.1,26660,
424,兜山,かぶとやま,1016,15407,
425,吉峯,よしみね,635.8,28497,
426,扇平山,おうぎひらやま,351,15390,
427,梨尾山,なしおやま,179.8,25636,
428,台山,だいやま,676.9,26885,
429,平畑峰,ひらはたみね,535,28498,
430,本城山,ほんじょうさん,380,25483,
431,滝川迫山,たきがわざこやま,400.2,28499,
432,上津川山,こうづがわやま,686.4,28500,
433,西野山,にしのやま,308.2,28501,
434,北向山,きたむかいやま,1010.7,26588,
435,鳶ヶ城,とびがじょう,391,28502,
436,若山,わかやま,505.5,28503,
437,水口山,みずぐちやま,896,25028,
438,倉谷山,くらたにやま,520.4,28504,
439,狼岩,おおかみいわ,740.3,28505,
440,日繰山,ひぐりやま,260,28506,
441,黒塚山,くろづかやま,878.6,28507,
442,城山,しろやま,460,28508,
443,鷹巣山,たかすやま,727,28509,
444,仙人岩,せんにんいわ,830,28510,
445,中山,なかやま,170,28511,
446,神酔石,かんすいし,351.7,25150,
447,寺の山,てらのやま,428,26331,
448,大木山,おおきやま,441.6,26106,
449,奥ヶ迫山,おくがさこやま,870,28513,
450,焼野岳,やけのだけ,132,16373,
451,御岳,おんたけ,388,28514,
452,笠良木山,かさらぎやま,460,28515,
453,有寺山,うてらやま,420,28516,
454,村山,むらやま,215.1,28517,
455,障子岩,しょうじいわ,710,28518,
456,川又山,かわまたやま,276.5,28519,
457,間越山,はざこやま,208.1,26115,
458,蛇谷山,じゃたにやま,400,28520,
459,賀賃山,かちんやま,178.3,25303,
460,牛岳,うしだけ,474,25337,
461,碁盤ヶ岳,ごばんがだけ,716.3,15319,
462,尾谷山,おたにやま,306.4,27536,
463,飯盛山,いいもりやま,1347,24433,
464,ハゼリ山,はぜりやま,564.7,28521,
465,石ノ塔,いしのとう,393.7,28522,
466,上津山,あげつやま,425,28523,
467,立平山,たてひらやま,254,28402,
468,中峰,なかみね,868.3,28524,
469,城山,しろやま,110,28525,
470,木場山,こばやま,865,28526,
471,白岩山,しらいわやま,396.2,28527,
472,星河城,ほしこじょう,520,28528,
473,神田山,じんだやま,309,28529,
474,キシメギ崎山,きしめきざきやま,114.5,25422,
475,名子山,みょうすやま,579.4,28530,
476,大黒山,だいこくやま,1020,28531,
477,秋葉様の山,あきばさまのやま,460,28532,
478,白石台,しらいしだい,809.8,26715,
479,ツメ山,つめやま,345.6,28533,
480,西河内山,にしかわちやま,540.5,26332,
481,城山,しろやま,183,28534,
482,中山,なかやま,929,25369,
483,向平山,むこうひらやま,127.2,28535,
484,遠目山,とおめやま,193.5,28536,
485,杖ヶ台山,つえがだいやま,855.1,25502,
486,石田山,いしだやま,249,15306,
487,小浦山,こうらやま,290,28537,
488,栗原山,くりばるやま,930.9,28538,
489,程野山,ほどのやま,986,28539,
490,光合岩,こうごういわ,372.7,27288,
491,須山,すやま,295.9,28540,
492,筧山,かけひやま,194.6,28541,
493,松浦山,まつうらやま,153,28542,
494,小岳,おだけ,378,25111,
495,仲山,なかやま,305.8,28543,
496,行入富士,ぎょうにゅうふじ,405.8,25100,
497,大岩,おおいわ,223,25500,
498,下山,しもやま,968.6,26662,
499,大力山,だいりきやま,304.8,25473,
500,小迫山,おさこやま,588.2,28544,
501,平山,ひらやま,560,28545,
502,松尾山,まつおやま,273,26152,
503,轟山,とどろやま,619.6,28546,
504,郷士岳,ごしだけ,617,19270,
505,一望岩,いちぼういわ,290,28547,
506,殿山,とのやま,223,28548,
507,新山,しんやま,615,26737,
508,鬼死岩,おんしいわ,250,28549,
