group_id,parent_name,parent_kana,child_id,child_name,relation_type,is_representative
78,鹿田山,しかだやま,2709,八王子山,AREA_TO_PEAK,1
79,岩山,いわやま,2788,一番岩,AREA_TO_PEAK,1
80,荒倉山,あらくらやま,2945,砂鉢山,AREA_TO_PEAK,1
81,双子山,ふたごやま,3703,西峰,MAIN_TO_SUB_PEAK,1
81,双子山,ふたごやま,28733,東峰,MAIN_TO_SUB_PEAK,0
82,鎌房山,かまぶさやま,4804,上岳,MAIN_TO_SUB_PEAK,1
82,鎌房山,かまぶさやま,4802,下岳,MAIN_TO_SUB_PEAK,0
83,片羽山,かたばやま,5737,雄岳,MAIN_TO_SUB_PEAK,1
83,片羽山,かたばやま,5738,雌岳,MAIN_TO_SUB_PEAK,0
84,七ッ森,ななつもり,6310,生森,AREA_TO_PEAK,1
85,文殊山,もんじゅさん,7293,大文殊,AREA_TO_PEAK,1
86,ドンデン山,どんでんやま,8568,タダラ峰,AREA_TO_PEAK,1
87,戸中山,とちゅうやま,9049,前黒法師山,AREA_TO_PEAK,1
88,鶏冠山,とさかやま,9230,南峰,MAIN_TO_SUB_PEAK,0
88,鶏冠山,とさかやま,28713,北峰,MAIN_TO_SUB_PEAK,1
89,二ッ塚,ふたつづか,9254,上塚,AREA_TO_PEAK,1
90,金峰山,きんぷさん,10133,青根ヶ峰,AREA_TO_PEAK,1
91,秋吉台,あきよしだい,11311,龍護峰,AREA_TO_PEAK,1
92,牛頭山,うしずやま,11892,西峰,MAIN_TO_SUB_PEAK,1
92,牛頭山,うしずやま,28742,東峰,MAIN_TO_SUB_PEAK,0
93,五段高原,ごだんこうげん,12936,五段城,AREA_TO_PEAK,1
94,七宝山,しっぽうさん,13517,真平山,AREA_TO_PEAK,1
95,屋島,やしま,13740,南嶺,MAIN_TO_SUB_PEAK,1
95,屋島,やしま,13739,北嶺,MAIN_TO_SUB_PEAK,0
96,眉山,まゆやま,15055,七面山,AREA_TO_PEAK,1
97,二上山,ふたがみやま,15132,男岳,MAIN_TO_SUB_PEAK,1
97,二上山,ふたがみやま,21715,女岳,MAIN_TO_SUB_PEAK,0
98,四王寺山,しおうじやま,15625,大城山,AREA_TO_PEAK,1
99,杵島山,きしまやま,16186,犬山岳,AREA_TO_PEAK,1
100,香春岳,かわらだけ,16758,三ノ岳,AREA_TO_PEAK,1
101,七ッ森,ななつもり,17665,笹倉山,AREA_TO_PEAK,1
102,三峰山,みつみねやま,17864,後閑峰,AREA_TO_PEAK,1
