item,itemLabel,coord,elevation,nativeLabel,kanaQualifier,wikipedia_url
http://www.wikidata.org/entity/Q107297838,社山,Point(139.444722222 36.719444444),1827,,,https://ja.wikipedia.org/wiki/%E7%A4%BE%E5%B1%B1_(%E6%A0%83%E6%9C%A8%E7%9C%8C)
http://www.wikidata.org/entity/Q107421408,七ッ山,Point(134.54514 34.04016),9,,,https://ja.wikipedia.org/wiki/%E4%B8%83%E3%83%83%E5%B1%B1
http://www.wikidata.org/entity/Q107539259,経ヶ峰,Point(136.374444444 34.766388888),819,,,https://ja.wikipedia.org/wiki/%E7%B5%8C%E3%83%B6%E5%B3%B0
http://www.wikidata.org/entity/Q107978578,鬼ヶ城山,Point(137.952222222 35.474444444),1483,,,https://ja.wikipedia.org/wiki/%E9%AC%BC%E3%83%B6%E5%9F%8E%E5%B1%B1_(%E9%95%B7%E9%87%8E%E7%9C%8C)
http://www.wikidata.org/entity/Q108395246,妙法ヶ岳 (岐阜県),Point(136.59625 35.545),,,,https://ja.wikipedia.org/wiki/%E5%A6%99%E6%B3%95%E3%83%B6%E5%B2%B3_(%E5%B2%90%E9%98%9C%E7%9C%8C)
http://www.wikidata.org/entity/Q10859199,明星ヶ岳,Point(139.06747222 35.256),923.9,,,https://ja.wikipedia.org/wiki/%E6%98%8E%E6%98%9F%E3%83%B6%E5%B2%B3_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
http://www.wikidata.org/entity/Q10859199,明星ヶ岳,Point(139.0675 35.255833333),923.9,,,https://ja.wikipedia.org/wiki/%E6%98%8E%E6%98%9F%E3%83%B6%E5%B2%B3_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
http://www.wikidata.org/entity/Q10860561,鷹取山 (横須賀市・逗子市),Point(139.61425 35.30597222),139,,,https://ja.wikipedia.org/wiki/%E9%B7%B9%E5%8F%96%E5%B1%B1_(%E6%A8%AA%E9%A0%88%E8%B3%80%E5%B8%82%E3%83%BB%E9%80%97%E5%AD%90%E5%B8%82)
http://www.wikidata.org/entity/Q10865239,三上山,Point(136.03778 35.05028),432,三上山,みかみやま,https://ja.wikipedia.org/wiki/%E4%B8%89%E4%B8%8A%E5%B1%B1
http://www.wikidata.org/entity/Q10865239,三上山,Point(136.03778 35.05028),432,近江富士,おうみふじ,https://ja.wikipedia.org/wiki/%E4%B8%89%E4%B8%8A%E5%B1%B1
http://www.wikidata.org/entity/Q10871707,嵐山,Point(139.19877778 35.6115),406,,,https://ja.wikipedia.org/wiki/%E5%B5%90%E5%B1%B1_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
http://www.wikidata.org/entity/Q10871727,六ツ石山,Point(139.046472 35.817306),1478.9,,,https://ja.wikipedia.org/wiki/%E5%85%AD%E3%83%84%E7%9F%B3%E5%B1%B1
http://www.wikidata.org/entity/Q10871739,蕎麦粒山 (東京都・埼玉県),Point(139.08722222 35.87222222),1472.9,,,https://ja.wikipedia.org/wiki/%E8%95%8E%E9%BA%A6%E7%B2%92%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD%E3%83%BB%E5%9F%BC%E7%8E%89%E7%9C%8C)
http://www.wikidata.org/entity/Q10871744,川苔山,Point(139.106944444 35.850833333),1363.3,,,https://ja.wikipedia.org/wiki/%E5%B7%9D%E8%8B%94%E5%B1%B1
http://www.wikidata.org/entity/Q10871744,川苔山,Point(139.106944444 35.85),1363.3,,,https://ja.wikipedia.org/wiki/%E5%B7%9D%E8%8B%94%E5%B1%B1
http://www.wikidata.org/entity/Q10871753,大岳山,Point(139.130277777 35.765),1266.5,,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%B2%B3%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD)
http://www.wikidata.org/entity/Q10871763,日の出山,Point(139.167417 35.781222),902,,,https://ja.wikipedia.org/wiki/%E6%97%A5%E3%81%AE%E5%87%BA%E5%B1%B1
http://www.wikidata.org/entity/Q10871763,日の出山,Point(139.16746 35.78121),902,,,https://ja.wikipedia.org/wiki/%E6%97%A5%E3%81%AE%E5%87%BA%E5%B1%B1
http://www.wikidata.org/entity/Q10871776,御前山,Point(139.081111111 35.770833333),1405,,,https://ja.wikipedia.org/wiki/%E5%BE%A1%E5%89%8D%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD)
http://www.wikidata.org/entity/Q10871785,三頭山,Point(139.01416667 35.73861111),1531,,,https://ja.wikipedia.org/wiki/%E4%B8%89%E9%A0%AD%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD)
http://www.wikidata.org/entity/Q10871785,三頭山,Point(139.0128 35.7392),1531,,,https://ja.wikipedia.org/wiki/%E4%B8%89%E9%A0%AD%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD)
http://www.wikidata.org/entity/Q10871822,鍋割山,Point(139.141388888 35.443888888),1272.48,,,https://ja.wikipedia.org/wiki/%E9%8D%8B%E5%89%B2%E5%B1%B1_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
http://www.wikidata.org/entity/Q10871840,大室山,Point(139.068333333 35.510833333),1587,,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%AE%A4%E5%B1%B1_(%E4%B8%B9%E6%B2%A2)
http://www.wikidata.org/entity/Q10871840,大室山,Point(139.0683 35.5108),1587,,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%AE%A4%E5%B1%B1_(%E4%B8%B9%E6%B2%A2)
http://www.wikidata.org/entity/Q10871854,菰釣山,Point(138.978888888 35.463888888),1379,,,https://ja.wikipedia.org/wiki/%E8%8F%B0%E9%87%A3%E5%B1%B1
http://www.wikidata.org/entity/Q10871854,菰釣山,Point(138.978472 35.463694),1379,,,https://ja.wikipedia.org/wiki/%E8%8F%B0%E9%87%A3%E5%B1%B1
http://www.wikidata.org/entity/Q10871866,焼山,Point(139.16361111 35.53861111),1059.6,,,https://ja.wikipedia.org/wiki/%E7%84%BC%E5%B1%B1_(%E4%B8%B9%E6%B2%A2)
http://www.wikidata.org/entity/Q10871880,檜岳,Point(139.115833 35.431389),1166.8,,,https://ja.wikipedia.org/wiki/%E6%AA%9C%E5%B2%B3
http://www.wikidata.org/entity/Q10871895,高松山 (厚木市),Point(139.32077778 35.44325),146.5,,,https://ja.wikipedia.org/wiki/%E9%AB%98%E6%9D%BE%E5%B1%B1_(%E5%8E%9A%E6%9C%A8%E5%B8%82)
http://www.wikidata.org/entity/Q10871905,弘法山,Point(139.250277777 35.375055555),235,,,https://ja.wikipedia.org/wiki/%E5%BC%98%E6%B3%95%E5%B1%B1
http://www.wikidata.org/entity/Q10871917,明神ヶ岳,Point(139.0525 35.279444444),1169,,,https://ja.wikipedia.org/wiki/%E6%98%8E%E7%A5%9E%E3%83%B6%E5%B2%B3_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
http://www.wikidata.org/entity/Q10871917,明神ヶ岳,Point(139.05222222 35.27916667),1169,,,https://ja.wikipedia.org/wiki/%E6%98%8E%E7%A5%9E%E3%83%B6%E5%B2%B3_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
http://www.wikidata.org/entity/Q10871928,神山,Point(139.020833333 35.233333333),1438,神山,かみやま,https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%B1%B1
http://www.wikidata.org/entity/Q10871940,三国山,Point(138.984166666 35.215833333),1101.8,,,https://ja.wikipedia.org/wiki/%E4%B8%89%E5%9B%BD%E5%B1%B1_(%E7%AE%B1%E6%A0%B9%E5%B1%B1%E5%A4%96%E8%BC%AA%E5%B1%B1)
http://www.wikidata.org/entity/Q10871940,三国山,Point(138.98388889 35.21583333),1101.8,,,https://ja.wikipedia.org/wiki/%E4%B8%89%E5%9B%BD%E5%B1%B1_(%E7%AE%B1%E6%A0%B9%E5%B1%B1%E5%A4%96%E8%BC%AA%E5%B1%B1)
http://www.wikidata.org/entity/Q10871952,鷹ノ巣山,Point(139.012222222 35.83),1736.6,,,https://ja.wikipedia.org/wiki/%E9%B7%B9%E3%83%8E%E5%B7%A3%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD)
http://www.wikidata.org/entity/Q10871952,鷹ノ巣山,Point(139.0125 35.829722222),1736.6,,,https://ja.wikipedia.org/wiki/%E9%B7%B9%E3%83%8E%E5%B7%A3%E5%B1%B1_(%E6%9D%B1%E4%BA%AC%E9%83%BD)
http://www.wikidata.org/entity/Q10871964,石垣山,Point(139.12713 35.23514),262,,,https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%9E%A3%E5%B1%B1
http://www.wikidata.org/entity/Q10871978,辺室山,Point(139.254861 35.489917),644.3,,,https://ja.wikipedia.org/wiki/%E8%BE%BA%E5%AE%A4%E5%B1%B1
http://www.wikidata.org/entity/Q10871989,経ヶ岳,Point(139.275277777 35.507222222),633,,,https://ja.wikipedia.org/wiki/%E7%B5%8C%E3%83%B6%E5%B2%B3_(%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C)
